date,process,emotion,energy,key
2022-05-30,0,0,0,nan
2022-01-11,6,5,5,nan
2022-01-12,8,6,6,nan
2022-01-13,8,7,6,Arithmetic
2022-01-14,7,8,8,nan
2022-01-15,0,5,7,HAPPY Weekend
2022-01-16,6,7,7,Turn
2022-01-17,4,6,3,nan
2022-01-18,7,3,5,Foolish
2022-01-19,5,7,6,Focus
2022-01-20,6,3,6,nan
2022-01-21,8,6,6,Understand
2022-01-22,0,8,5,Balance
2022-01-23,5,7,6,Diet
2022-02-01,0,8,8,家人
2022-02-02,0,8,8,家人
2022-02-03,0,8,8,家人
2022-02-04,0,8,8,家人
2022-02-05,0,8,8,家人
2022-02-06,0,8,8,家人
2022-02-07,3,8,6,预估
2022-02-08,8,8,7,时间
2022-04-13,5,7,7,None
2022-04-14,3,4,9,None
2022-04-15,3,9,9,None
2022-04-16,0,4,8,高兴
2022-04-17,0,3,7,happy
2022-04-18,8,5,7,learning
2022-04-19,1,6,2,code
2022-04-20,0,0,0,None
2022-04-21,0,0,0,None
2022-04-22,0,0,0,None
2022-04-23,10,8,8,dream
2022-04-24,0,0,0,None
2022-04-25,0,0,0,None
2022-04-26,0,0,0,None
2022-04-27,0,0,0,None
2022-04-28,0,0,0,None
2022-04-29,0,0,0,None
2022-04-30,0,0,0,None
2022-05-01,0,0,0,None
2022-05-02,0,0,0,None
2022-05-03,0,0,0,None
2022-05-04,0,0,0,None
2022-05-06,10,8,8,plan
2022-05-07,0,0,0,None
2022-05-08,0,0,0,None
2022-05-09,0,0,0,None
2022-05-10,0,0,0,None
2022-05-11,0,0,0,None
2022-05-12,0,0,0,None
2022-05-13,0,0,0,None
2022-05-14,10,8,8,午睡
2022-05-15,10,6,8,沮丧
2022-05-16,0,0,0,None
2022-05-17,10,8,8,dream
2022-05-18,0,0,0,None
2022-05-19,0,0,0,None
2022-05-20,0,0,0,None
